"word","part_of_speech"
"Arnulfo","M"
"Aron","M"
"Arrhenius","M"
"Arron","M"
"Art","M"
"Artaxerxes","M"
"Artemis","M"
"Arthur","M"
"Arthurian","M"
"Artie","M"
"Arturo","M"
"Aruba","M"
"Aryan","MS"
"As","M"
"Asama","M"
"Ascella","M"
"Ascension","M"
"Asgard","M"
"Ashanti","M"
"Ashcroft","M"
"Ashe","M"
"Asheville","M"
"Ashgabat",NA
"Ashikaga","M"
"Ashkenazim","M"
"Ashkhabad","M"
"Ashlee","M"
"Ashley","M"
"Ashmolean","M"
"Ashurbanipal","M"
"Asia","M"
"Asiago",NA
"Asian","MS"
"Asiatic","SM"
"Asimov","M"
"Asmara","M"
"Asoka","M"
"Aspell","M"
"Aspen","M"
"Asperger","M"
"Aspidiske","M"
"Asquith","M"
"Assad","M"
"Assam","M"
"Assamese","M"
"Assembly",NA
"Assisi","M"
"Assyria","M"
"Assyrian","SM"
"Astaire","M"
"Astana","M"
"Astarte","M"
"Aston","M"
"Astor","M"
"Astoria","M"
"Astrakhan","M"
"AstroTurf","M"
"Asturias","M"
"Asuncion","M"
"Aswan","M"
"At","SM"
"Atacama","M"
"Atahualpa","M"
"Atalanta","M"
"Atari","M"
"Atascadero","M"
"Ataturk","M"
"Athabasca","M"
"Athabaskan","SM"
"Athanasius",NA
"Athena","M"
"Athene","M"
"Athenian","SM"
"Athens","M"
"Atkins","M"
"Atkinson","M"
"Atlanta","M"
"Atlantes",NA
"Atlantic","M"
"Atlantis","M"
"Atlas","MS"
"Atman","M"
"Atonement",NA
"Atreus","M"
"Atria","M"
"Atropos","M"
"Attic","M"
"Attica","M"
"Attila","M"
"Attlee","M"
"Attn",NA
"Attucks","M"
"Atwood","M"
"Au","M"
"Aubrey","M"
"Auburn","M"
"Auckland","M"
"Auden","M"
"Audi","M"
"Audion","M"
"Audra","M"
"Audrey","M"
"Audubon","M"
"Aug","M"
"Augean","M"
"Augsburg","M"
"August","MS"
"Augusta","M"
"Augustan","M"
"Augustine","M"
"Augustinian","MS"
"Augustus","M"
"Aurangzeb","M"
"Aurelia","M"
"Aurelio","M"
"Aurelius","M"
"Aureomycin","M"
"Auriga","M"
"Aurora","M"
"Auschwitz","M"
"Aussie","MS"
"Austen","M"
"Austerlitz","M"
"Austin","MS"
"Australasia","M"
"Australasian",NA
"Australia","M"
"Australian","SM"
"Australoid","M"
"Australopithecus","M"
"Austria","M"
"Austrian","SM"
"Austronesian","M"
"Autumn","M"
"Av","M"
"Ava","M"
"Avalon","M"
"Ave","M"
"Aventine","M"
"Avernus","M"
"Averroes","M"
"Avery","M"
"Avesta","M"
"Avicenna","M"
"Avignon","M"
"Avila","M"
"Avior","M"
"Avis","M"
"Avogadro","M"
"Avon","M"
"Avondale","M"
"Axis",NA
"Axum","M"
"Ayala","M"
"Ayers","M"
"Aymara","M"
"Ayrshire","M"
"Ayurveda","M"
"Ayyubid","M"
"Azana","M"
"Azania","M"
"Azazel","M"
"Azerbaijan","M"
"Azerbaijani","MS"
"Azores","M"
"Azov","M"
"Aztec","SM"
"Aztecan","M"
"Aztlan","M"
"B","MNT"
"BA","M"
"BASIC","SM"
"BB","M"
"BBB","M"
"BBC","M"
"BBQ",NA
"BBS",NA
"BBSes",NA
"BC","M"
"BFF",NA
"BIA",NA
"BIOS",NA
"BITNET",NA
"BLT","SM"
"BM","M"
"BMW","M"
"BO",NA
"BP","M"
"BPOE",NA
"BR",NA
"BS","M"
"BSA",NA
"BSD","SM"
"BTU",NA
"BTW",NA
"BYOB",NA
"Ba","M"
"Baal","SM"
"Baath","M"
"Baathist","M"
"Babbage","M"
"Babbitt","M"
"Babel","MS"
"Babylon","MS"
"Babylonia","M"
"Babylonian","SM"
"Bacall","M"
"Bacardi","M"
"Bacchanalia","M"
"Bacchic",NA
"Bacchus","M"
"Bach","M"
"Backus","M"
"Bacon","M"
"Bactria","M"
"Baden","M"
"Badlands","M"
"Baedeker","MS"
"Baez","M"
"Baffin","M"
"Baggies","M"
"Baghdad","M"
"Baguio","M"
"Baha'i","M"
"Baha'ullah","M"
"Bahama","SM"
"Bahamanian",NA
"Bahamas","M"
"Bahamian","MS"
"Bahia","M"
"Bahrain","M"
"Baidu","M"
"Baikal","M"
"Bailey","M"
"Baird","M"
"Bakelite","M"
"Baker","M"
"Bakersfield","M"
"Baku","M"
"Bakunin","M"
"Balanchine","M"
"Balaton","M"
"Balboa","M"
"Balder","M"
"Baldwin","SM"
"Balearic","M"
"Balfour","M"
"Bali","M"
"Balinese","M"
"Balkan","MS"
"Balkans","M"
"Balkhash","M"
"Ball","M"
"Ballard","M"
"Balthazar","M"
"Baltic","M"
"Baltimore","M"
"Baluchistan","M"
"Balzac","M"
"Bamako","M"
"Bambi","M"
"Banach","M"
"Bancroft","M"
"Bandung","M"
"Bangalore","M"
"Bangkok","M"
"Bangladesh","M"
"Bangladeshi","SM"
"Bangor","M"
"Bangui","M"
"Banjarmasin","M"
"Banjul","M"
"Banks","M"
"Banneker","M"
"Bannister","M"
"Banting","M"
"Bantu","MS"
"Baotou","M"
"Baptist","SM"
"Baptiste","M"
"Barabbas","M"
"Barack","M"
"Barbadian","SM"
